segment0,segment3,segment2,segment1
23,20,17,42
23,20,17,42
23,20,17,42
23,20,17,42
23,20,17,42
23,20,17,42
23,20,17,42
23,20,17,42
23,20,17,42
23,20,17,42
28,20,17,42
28,20,17,42
28,20,17,47
28,21,17,47
28,21,22,47
28,21,22,47
28,21,22,47
23,21,22,42
23,26,22,42
23,26,27,42
18,26,27,37
18,31,27,37
18,31,22,37
18,31,22,37
13,31,22,32
23,21,22,47
23,26,27,42
8,36,27,32
8,36,27,27
8,41,27,27
23,26,27,42
8,41,22,27
8,41,22,27
13,36,22,22
18,26,27,42
13,36,17,22
18,36,17,20
23,26,27,42
18,31,12,20
18,31,12,25
18,26,27,37
23,26,7,25
23,26,7,30
23,26,7,30
23,21,5,30
13,41,22,27
18,31,22,37
23,21,5,30
23,21,5,30
25,18,10,35
25,21,5,35
13,31,22,37
20,18,10,30
8,41,22,27
20,23,15,30
13,41,22,22
20,23,15,30
23,23,15,30
23,23,15,25
23,23,15,25
8,36,27,32
23,18,10,25
27,18,10,20
23,18,10,25
13,31,22,32
13,36,27,32
27,16,8,20
24,16,8,20
13,36,27,32
24,16,8,22
24,11,8,22
24,11,3,22
19,12,3,17
19,12,5,17
19,12,5,17
14,12,5,12
14,12,5,12
14,7,5,12
14,7,10,12
19,7,10,12
19,7,10,15
19,7,10,15
19,12,15,15
19,12,15,15
19,12,15,15
18,12,15,15
19,12,15,15
14,7,10,12
18,17,12,20
18,17,12,20
23,17,12,20
23,17,12,25
23,12,12,25
23,12,13,25
23,12,13,25
23,12,13,25
18,17,12,20
18,12,13,27
18,8,13,27
18,8,8,27
18,8,8,27
18,8,8,27
13,8,8,27
13,3,8,22
13,3,4,22
23,17,12,25
13,3,4,22
18,3,4,17
18,3,4,17
18,5,4,17
18,5,2,17
13,10,2,12
8,10,5,12
8,10,5,7
8,10,5,7
8,15,5,7
18,12,13,25
11,15,2,7
8,15,2,7
11,15,2,12
18,12,13,27
11,15,2,12
11,12,7,12
11,12,7,12
11,12,7,12
16,17,12,15
16,12,7,15
16,17,12,15
11,17,12,10
11,17,12,10
11,14,12,10
11,14,9,10
11,14,9,10
12,14,9,10
12,14,9,15
13,8,8,22
12,9,9,15
12,9,12,15
13,5,2,17
8,15,2,7
13,3,4,22
13,3,4,22
8,5,17,20
6,5,17,20
6,5,17,15
18,5,2,17
6,10,12,15
6,10,12,15
11,10,12,15
11,10,12,10
11,10,9,10
13,10,5,12
11,10,9,10
11,10,9,10
16,11,4,13
16,11,4,13
13,10,5,12
11,11,4,8
6,6,0,9
6,6,0,9
11,6,0,8
11,6,0,8
8,11,4,9
8,16,4,11
13,5,2,12
18,5,2,17
13,16,5,11
13,16,5,6
13,21,5,6
13,21,4,6
13,21,4,6
18,21,4,6
18,16,9,4
18,16,9,4
23,16,9,4
13,5,2,12
23,16,9,9
18,15,7,8
18,20,9,8
18,20,9,8
22,20,9,8
13,10,5,12
22,20,9,12
22,17,11,12
22,17,11,12
8,15,2,7
27,17,11,17
27,12,8,17
27,12,8,17
32,17,8,12
16,17,7,15
32,17,8,12
27,17,8,7
27,17,8,12
11,12,2,12
27,22,13,7
22,22,13,7
22,22,13,11
6,10,12,15
22,18,13,11
22,18,18,11
22,18,18,11
22,18,18,11
17,18,18,11
17,18,18,6
17,18,18,6
17,23,17,6
17,23,17,6
22,23,17,1
22,18,13,1
16,12,7,12
11,17,12,15
22,18,13,1
22,18,13,1
27,18,13,1
27,18,13,6
27,23,13,6
27,23,9,6
27,23,9,6
8,9,12,15
22,23,9,11
16,17,12,15
11,14,9,10
22,23,9,11
22,27,9,11
22,27,6,11
22,27,6,11
17,27,6,11
17,27,6,16
17,27,6,16
17,24,6,16
17,24,11,16
17,24,11,16
17,24,11,16
22,24,11,16
22,29,6,11
22,29,6,11
22,29,6,11
17,29,6,11
17,29,6,15
12,14,9,15
17,24,7,15
17,24,7,15
12,24,7,15
12,24,7,20
12,24,7,20
17,24,6,15
8,5,17,20
12,19,7,20
12,19,7,20
7,19,7,20
7,19,7,18
7,20,7,18
8,9,12,20
7,20,12,18
12,9,12,15
7,20,12,18
12,20,12,18
12,18,13,13
12,9,12,15
12,18,13,13
8,5,12,20
17,18,13,13
17,13,13,9
17,13,8,9
8,9,12,20
6,5,17,15
8,5,17,20
22,13,8,14
22,18,8,14
11,10,12,10
22,18,3,14
22,18,3,14
22,18,3,14
17,18,3,14
17,13,3,14
6,10,17,15
17,13,3,14
13,13,3,14
13,13,3,18
13,8,3,18
13,8,8,18
13,8,8,18
13,8,8,18
13,13,3,18
8,8,8,13
8,7,8,13
11,10,12,10
8,7,13,13
13,7,13,13
13,7,13,18
16,10,9,13
13,12,8,18
13,12,8,18
18,12,8,14
18,12,8,14
18,7,3,14
13,7,3,14
13,7,3,19
11,11,4,8
13,7,3,19
11,6,0,8
8,7,6,19
8,8,11,17
8,8,11,17
8,8,11,17
6,8,11,17
6,8,11,22
6,7,11,22
6,7,11,22
4,7,11,26
4,12,11,26
4,12,13,26
4,12,13,26
6,12,13,26
6,12,13,31
6,7,8,31
6,7,13,31
6,7,11,22
5,7,8,36
6,12,13,26
5,10,13,36
5,10,13,36
10,10,13,36
10,6,13,41
10,6,12,41
10,6,12,41
10,6,12,41
4,12,13,26
15,6,12,46
15,6,12,46
15,7,9,46
15,7,9,46
15,7,9,46
11,7,9,50
11,7,9,46
5,7,8,36
6,15,14,45
6,15,19,45
6,15,19,45
