segment0,segment3,segment2,segment1
40,10,5,40
40,10,5,40
40,10,5,40
40,10,5,40
40,10,5,40
40,15,5,40
40,10,5,40
40,10,5,40
40,15,9,40
45,15,9,40
45,15,9,40
45,15,9,45
45,20,9,45
40,20,11,45
40,20,11,45
40,20,11,45
35,25,8,44
35,25,8,44
45,15,9,45
35,25,8,44
35,25,8,39
45,20,11,45
30,30,13,39
30,30,13,34
30,30,13,34
30,35,18,34
40,20,11,44
30,35,18,34
25,35,18,34
25,35,18,34
25,35,18,29
40,20,11,44
25,40,18,29
24,40,23,29
24,40,23,29
24,40,23,24
24,40,23,24
29,35,18,26
24,35,18,24
29,30,18,26
29,30,13,26
30,30,13,39
34,30,13,26
34,30,13,31
40,25,8,44
34,30,13,31
34,25,13,31
34,25,8,31
39,25,8,31
40,25,11,44
39,20,6,26
34,20,6,26
34,20,6,21
34,20,6,21
29,15,9,21
29,19,9,16
29,19,14,16
35,25,8,39
24,19,14,16
24,19,14,16
35,25,8,39
24,19,14,16
24,19,14,14
24,19,14,14
24,20,14,14
19,20,12,14
35,30,13,39
19,20,12,14
30,30,13,39
24,35,18,24
19,20,12,13
25,40,23,29
14,15,7,13
14,15,7,13
14,15,7,13
14,15,7,10
14,15,7,10
14,11,12,10
9,11,12,10
9,11,12,10
9,11,12,15
9,11,12,15
30,30,13,34
9,8,7,15
14,8,7,15
14,8,7,15
14,8,7,15
14,8,7,20
14,6,7,20
14,6,2,20
18,6,2,20
18,6,2,23
18,11,0,23
18,6,2,23
13,11,0,23
13,11,0,18
18,6,2,20
13,16,5,18
13,16,5,18
18,6,2,23
10,16,5,18
10,16,5,13
10,16,5,13
10,16,5,13
10,11,5,13
14,11,8,13
24,40,23,29
14,11,8,13
14,11,8,13
14,11,8,13
24,40,23,24
14,6,5,13
19,6,5,13
14,6,8,13
19,6,5,13
19,6,5,18
34,30,13,26
19,6,5,18
29,35,18,24
19,11,5,18
19,11,3,18
14,11,3,18
14,11,3,18
14,11,3,18
14,11,3,23
14,11,3,23
14,15,2,23
29,35,18,26
14,15,2,23
9,15,2,23
9,15,2,18
9,11,0,18
9,15,2,18
9,15,2,18
14,11,0,18
14,11,0,13
9,15,2,23
14,11,0,13
14,11,0,13
9,11,0,18
9,6,0,13
14,6,0,13
9,6,0,13
9,6,0,18
9,6,0,18
9,6,0,18
9,6,5,18
4,6,5,18
4,6,5,23
4,6,5,18
4,6,5,23
4,11,10,23
9,11,10,23
9,11,10,23
9,11,10,23
4,6,5,18
4,11,5,23
9,11,10,20
9,11,10,20
9,6,10,20
14,6,11,20
14,6,11,20
14,6,11,20
14,6,11,15
14,6,11,15
14,2,6,15
14,2,6,15
19,2,6,15
19,2,6,15
19,2,6,12
19,2,6,12
19,3,11,12
14,3,11,12
14,3,11,12
14,3,11,13
14,3,11,12
14,3,11,13
14,8,16,13
14,8,16,13
9,8,16,13
9,8,16,13
9,6,16,18
9,6,17,18
4,6,17,18
4,6,17,18
4,6,17,23
4,6,17,23
9,8,16,18
4,6,17,23
4,8,12,23
6,8,12,23
4,8,12,23
6,8,12,23
6,8,12,18
6,8,12,18
6,11,17,18
11,11,17,18
11,11,17,18
11,11,17,23
11,11,17,23
11,6,12,23
11,6,12,23
15,6,12,23
15,6,12,23
11,11,17,23
15,6,12,19
15,6,12,19
15,5,12,19
12,5,7,19
15,6,12,19
12,5,7,19
12,5,7,19
12,5,7,14
12,5,7,14
12,4,7,14
12,4,5,14
15,5,7,19
17,4,5,9
17,4,5,14
17,4,5,9
17,3,0,9
17,3,0,9
18,3,0,9
18,3,0,9
17,4,5,9
18,3,0,4
18,3,0,4
18,8,1,4
13,8,1,7
18,3,0,4
13,8,1,7
11,8,6,7
13,8,6,7
11,8,6,2
13,8,1,4
11,7,6,2
13,8,1,4
11,7,8,2
18,8,0,4
11,7,8,7
11,7,8,7
11,12,3,7
11,12,3,7
13,8,1,4
11,12,3,12
11,12,3,12
13,8,6,7
11,12,8,12
13,12,8,12
13,12,8,12
11,7,8,7
